,descrip,price,envio,ciudad,otro1,otro2,benef,disponibles,stock,official,ventas,infoVentas,atencion,entrega,ventas,nopiniones,calificacion,vendedor,ubicacion,reviews,marca,modelo,descripcionExt
10,Espectaculares Botas Deportivas En Cuero Para Hombre Cómodas,105.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 89% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(16 disponibles),Hay stock disponible,,"225
ventas en los últimos 4 meses.","225
ventas en los últimos 4 meses.",,"225
ventas en los últimos 4 meses.","225
ventas en los últimos 4 meses.",39 opiniones,4,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",89%,"Género
Hombre",,"* Importante: por favor consulta cualquier duda que tengas en la parte de abajo en ""preguntas al vendedor"" *

Espectaculares botas deportivas en cuero para hombre, con suela tipo caterpillar en caucho, muy cómodas y resistentes, en colores negro, marrón, gris.

Somos fabricantes, botas nacionales 100% calidad y originalidad.

Tallas 37-38-39-40-41-42-43, pero por favor consulta primero en la sección de preguntas cualquier duda que tengas.

Ventas al detal y al mayor.

Formas de pago y envío :

El envío es gratis por mercado envíos, y puedes pagar a través de mercado pago ya sea con la opción de efecty (en efectivo), tarjeta de crédito (a cuotas), tarjeta de débito (pse).

Te ofrecemos productos de calidad."
11,"Botas Marca Tennis, De Cuero Y Fondo Entero Tennis",249.900,Entrega a acordar con el vendedor,"Envigado, Antioquia",talla: 39,talla: 39,"Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(8 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,,,¿Qué quieres saber?,,,,,"INFORMACIÓN Botas para mujer marca Tennis, 100% de cuero y color café fondo entero, con cuero café contraste en punteras y taches. Color: CAFE. Hecho en material: Cuero MATERIAL FORRO/LINING: 80% POLIESTER/POLYESTER 20% POLIURETANO/POLYURETHANE CAPELLADA/UPPER: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 90% NEOLITE/NEOLITE 10% CAUCHO/RUBBER SILUETA"
12,"Botas Para Mujer Marca Tennis, Sinteticas Y Fondo Entero Ten",249.900,Entrega a acordar con el vendedor,"Envigado, Antioquia",talla:,"talla:
39
40","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(10 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,,,¿Qué quieres saber?,,,,,"INFORMACIÓN Botas para mujer marca Tennis, sinteticas y fondo entero. Color: CAFE. Hecho en material: FORRO/LINING: 90% POLIURETANO/POLYURETHANE 10% POLIESTER/POLYESTER EXTERIOR/SHELL: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 90% NEOLITE/NEOLITE 10% CAUCHO/RUBBER MATERIAL FORRO/LINING: 90% POLIURETANO/POLYURETHANE 10% POLIESTER/POLYESTER EXTERIOR/SHELL: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 90% NEOLITE/NEOLITE 10% CAUCHO/RUBBER SILUETA"
13,Bota Táctica Desierto Sahara Color Negro,154.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(44 disponibles),Hay stock disponible,,"330
ventas en los últimos 4 meses.","330
ventas en los últimos 4 meses.",,"330
ventas en los últimos 4 meses.","330
ventas en los últimos 4 meses.",4 opiniones,5,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",,"Marca
Desierto
Modelo
Sahara","Género Hombre
Tipo de calzado Botas
Estilo Militar
Tipo de caña Alta
Año de lanzamiento 2016","Bota táctica desierto sahara elaborada en cuero liso, lona impermeable de alta durabilidad, suela liviana en caucho resistente y antideslizante, vulcanizadas, caña de 20 cm, acolchado interno térmico suave, cremallera lateral y plantilla semi ortopédica."
14,"Botas Para Mujer Tennis, Material Sintetico Y Fondo Entero T",239.900,Entrega a acordar con el vendedor,"Envigado, Antioquia",talla: 37,talla: 37,"Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(6 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,,,¿Qué quieres saber?,,,,,"INFORMACIÓN Botas para mujer Tennis, material sintetico y fondo entero. Color: CAFE. Hecho en material: FORRO/LINING: 90% POLIESTER/POLYESTER 10% POLIURETANO/POLYURETHANE CAPELLADA/UPPER: 70% POLIESTER/POLYESTER 30% POLIURETANO/POLYURETHANE PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE SUELA/OUTSOLE: 100% CAUCHO/RUBBER MATERIAL FORRO/LINING: 90% POLIESTER/POLYESTER 10% POLIURETANO/POLYURETHANE CAPELLADA/UPPER: 70% POLIESTER/POLYESTER 30% POLIURETANO/POLYURETHANE PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE SUELA/OUTSOLE: 100% CAUCHO/RUBBER SILUETA"
15,"Botas Para Mujer Tennis, De Cuero Y Fondo Entero Tennis",239.900,Entrega a acordar con el vendedor,"Envigado, Antioquia",talla: 37,talla: 37,"Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(7 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,,,¿Qué quieres saber?,,,,,"INFORMACIÓN Botas para mujer Tennis, de cuero y fondo entero. Color: CAFE. Hecho en material: FORRO/LINING: 90% POLIURETANO/POLYURETHANE 10% POLIESTER/POLYESTER CAPELLADA/UPPER: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 90% NEOLITE/NEOLITE 10% CAUCHO/RUBBER MATERIAL FORRO/LINING: 90% POLIURETANO/POLYURETHANE 10% POLIESTER/POLYESTER CAPELLADA/UPPER: 100% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 90% NEOLITE/NEOLITE 10% CAUCHO/RUBBER SILUETA"
16,"Botas Para Mujer Marca Tennis, De Cuero Y Fondo Entero Tenni",229.900,Entrega a acordar con el vendedor,"Envigado, Antioquia",talla:,"talla:
35
37
38
39","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(24 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,,,¿Qué quieres saber?,,,,,"INFORMACIÓN Botas para mujer marca Tennis, de cuero y fondo entero. Color: CAFE. Hecho en material: FORRO/LINING: 80% POLIESTER/POLYESTER 20% POLIURETANO/POLYURETHANE CAPELLADA/UPPER: 95% CUERO VACUNO/COW LEATHER 5% POLIURETANO/POLYURETHANE PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 100% NEOLITE/ MATERIAL FORRO/LINING: 80% POLIESTER/POLYESTER 20% POLIURETANO/POLYURETHANE CAPELLADA/UPPER: 95% CUERO VACUNO/COW LEATHER 5% POLIURETANO/POLYURETHANE PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% MADERA/WOOD SUELA/OUTSOLE: 100% NEOLITE/ SILUETA"
17,"Botas Para Mujer Tennis, De Tela Y Estampado Tennis",229.900,Entrega a acordar con el vendedor,"Envigado, Antioquia",talla: 35,talla: 35,"Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(5 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,,,¿Qué quieres saber?,,,,,"INFORMACIÓN Botas para mujer Tennis, de tela y estampado. Color: CAFE. Hecho en material: FORRO/LINING: 90% POLIURETANO/POLYURETHANE 10% POLIESTER/POLYESTER CAPELLADA/UPPER: 95% POLIESTER/POLYESTER 5% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% PLASTICO/PLASTIC SUELA/OUTSOLE: 95% NEOLITE/N MATERIAL FORRO/LINING: 90% POLIURETANO/POLYURETHANE 10% POLIESTER/POLYESTER CAPELLADA/UPPER: 95% POLIESTER/POLYESTER 5% CUERO VACUNO/COW LEATHER PLANTILLA/INSOLE: 100% POLIURETANO/POLYURETHANE TACÓN/HEEL: 100% PLASTICO/PLASTIC SUELA/OUTSOLE: 95% NEOLITE/N SILUETA"
18,Bota Seguridad Kondor Indiana Dakar 175109,117.500,Llega gratis hoy,Solo en zonas de Bogotá,talla:,"talla:
Seleccione una opción
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(62 disponibles),Hay stock disponible,,"208
ventas en los últimos 4 meses.","208
ventas en los últimos 4 meses.",,"208
ventas en los últimos 4 meses.","208
ventas en los últimos 4 meses.",16 opiniones,4,¿Qué quieres saber?,"Barrios Unidos, Bogotá D.C.",100%,"Marca
Kondor
Modelo
DAKAR",Género Hombre,"Bota Seguridad Kondor Indiana, Referencia Dakar 175109
*** El color realmente NO es marron, es Dakar.

PUNTERA: Puntera de seguridad. No Metálica.
CUELLO: Anatómico, otorgando mayor comodidad y confort.
SUELA: Poliuretano, bicolor, bidensidad.
Resistente a hidrocarburos, dieléctrica, alta resistencia a la abrasión y flexible. Recubriendo la puntera para menor desgaste.
Suela en Poliuretano - Bidensidad"
19,"Combo,botas Hombre,+,bolso Hombre,+,cartera Hombre,moda",124.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(14 disponibles),Hay stock disponible,,"1396
ventas en los últimos 4 meses.","1396
ventas en los últimos 4 meses.",,"1396
ventas en los últimos 4 meses.","1396
ventas en los últimos 4 meses.",5 opiniones,5,¿Qué quieres saber?,"Cúcuta, Norte De Santander",100%,"Marca
Clark
Modelo
Combo Bota clark",Género Hombre,"DETALLES DEL PRODUCTO

Combo de Bota tipo botin,+ Bolso tipo carriel,+ cartera para hombre
Tipo de Producto: Bota
Altura Caña: Media
Tipo de Punta: Redonda
Empeine: Moldeado
Tipo Ajuste: Cordón
Ocasión: Casual
Medida Caña: 10cm
Medida Collarín: 8cm
Material Externo: Sintético de alta calidad , garantizado
Material Interno: Textil
Material Suela: Sintético TR
Origen: Producto Importado
Tallaje: Numeración Colombiana 37 al 43

INFORMACIÓN
Sexo Masculino
Material exterior Sintético de alta calidad ,garantizado
Material interior Textil

----------------------------------------------------------
Bolso para Hombre
Elaborado en materiales sintéticos de muy excelente calidad,con bolsillo exterior delantero,bolsillo en la parte dorsal , bolsillo en la parte interna

Cartera para hombre
Elaborado con materiales sintetico de alta calidad, cartera con compartimentos laterales y cierre en la parte delantera

Envíos gratis a nivel nacional
Fotos 100% reales"
20,Espectaculares Botas Deportivas En Cuero Para Hombre Cómodas,105.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 89% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(16 disponibles),Hay stock disponible,,"225
ventas en los últimos 4 meses.","225
ventas en los últimos 4 meses.",,"225
ventas en los últimos 4 meses.","225
ventas en los últimos 4 meses.",39 opiniones,4,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",89%,"Género
Hombre",,"* Importante: por favor consulta cualquier duda que tengas en la parte de abajo en ""preguntas al vendedor"" *

Espectaculares botas deportivas en cuero para hombre, con suela tipo caterpillar en caucho, muy cómodas y resistentes, en colores negro, marrón, gris.

Somos fabricantes, botas nacionales 100% calidad y originalidad.

Tallas 37-38-39-40-41-42-43, pero por favor consulta primero en la sección de preguntas cualquier duda que tengas.

Ventas al detal y al mayor.

Formas de pago y envío :

El envío es gratis por mercado envíos, y puedes pagar a través de mercado pago ya sea con la opción de efecty (en efectivo), tarjeta de crédito (a cuotas), tarjeta de débito (pse).

Te ofrecemos productos de calidad."
21,Botas Cuero Graso Nobuck Tipo Brahma Shoes Militar Cocidas,69.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 86% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(36 disponibles),,,"864
ventas en los últimos 4 meses.","864
ventas en los últimos 4 meses.",,"864
ventas en los últimos 4 meses.","864
ventas en los últimos 4 meses.",7 opiniones,5,¿Qué quieres saber?,"Chapinero, Bogotá D.C.",86%,"Marca
Alvines
Modelo
Shoes",Género Hombre,"SOMOS DISTRIBUIDORES DIRECTOS !!!!

ANTES DE COMPRAR PREGÚNTANOS TALLA Y COLOR !

BOTAS SHOES DE ALVINES EN CUERO GRASO Y NOBUCK COCIDAS Y VULCANIZADAS.

CARACTERÍSTICAS.

- Suela Anti deslizante.
- Cocidas para más durabilidad.
- 100% cuerdo de la mejor calidad.
- Acolchado en tobillo para más protección.
- Producto nacional.
- Ojales con refuerzo metálico.

COLORES.

- Amarilla (CUERO NOBUCK).
- Café (CUERO GRASO).

TALLAS.

- De la 36 a la 42 (SUJETAS A DISPONIBILIDAD).


APROVECHA EL PRECIO Y SIENTE LA MEJOR CALIDAD EN EL CUERO DE NUESTRA INDUSTRIA COLOMBIANA !!!"
